Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	br_lengths[52]	br_lengths[53]	br_lengths[54]	br_lengths[55]	br_lengths[56]	br_lengths[57]	br_lengths[58]	br_lengths[59]	br_lengths[60]	br_lengths[61]	br_lengths[62]	br_lengths[63]	br_lengths[64]	br_lengths[65]	br_lengths[66]	br_lengths[67]	br_lengths[68]	br_lengths[69]	br_lengths[70]	br_lengths[71]	br_lengths[72]	br_lengths[73]	br_lengths[74]	br_lengths[75]	br_lengths[76]	br_lengths[77]	br_lengths[78]	br_lengths[79]	br_lengths[80]	br_lengths[81]	br_lengths[82]	br_lengths[83]	br_lengths[84]	br_lengths[85]	br_lengths[86]	br_lengths[87]	br_lengths[88]	br_lengths[89]	br_lengths[90]	br_lengths[91]	br_lengths[92]	br_lengths[93]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	rel_br_lengths[52]	rel_br_lengths[53]	rel_br_lengths[54]	rel_br_lengths[55]	rel_br_lengths[56]	rel_br_lengths[57]	rel_br_lengths[58]	rel_br_lengths[59]	rel_br_lengths[60]	rel_br_lengths[61]	rel_br_lengths[62]	rel_br_lengths[63]	rel_br_lengths[64]	rel_br_lengths[65]	rel_br_lengths[66]	rel_br_lengths[67]	rel_br_lengths[68]	rel_br_lengths[69]	rel_br_lengths[70]	rel_br_lengths[71]	rel_br_lengths[72]	rel_br_lengths[73]	rel_br_lengths[74]	rel_br_lengths[75]	rel_br_lengths[76]	rel_br_lengths[77]	rel_br_lengths[78]	rel_br_lengths[79]	rel_br_lengths[80]	rel_br_lengths[81]	rel_br_lengths[82]	rel_br_lengths[83]	rel_br_lengths[84]	rel_br_lengths[85]	rel_br_lengths[86]	rel_br_lengths[87]	rel_br_lengths[88]	rel_br_lengths[89]	rel_br_lengths[90]	rel_br_lengths[91]	rel_br_lengths[92]	rel_br_lengths[93]	tree_length
0	-80.19799	-242.6902	162.4922	0.127357	0.00111709	0.0104567	0.00594974	0.0142253	0.000165919	0.0349031	0.00844694	0.00444101	0.0426637	0.00700509	0.0151635	0.000509423	0.0209057	0.0118521	0.0138286	0.00543584	0.00170851	0.00316928	0.000226852	0.00113302	0.000401516	0.0069907	0.0101321	0.0251902	0.0361103	0.0242885	0.00996739	0.0153765	0.05953	0.0292409	0.00546647	0.00611556	0.0084092	0.00483064	0.00867859	0.0339287	0.014883	0.0264088	0.00949024	0.0215225	2.20566e-05	0.0281407	0.0324546	0.00372531	0.139654	0.0194377	0.0481376	0.0148627	0.0973793	0.0103221	0.0305987	0.0100595	0.00452779	0.00920224	0.0239776	0.0117213	0.0170837	0.0156121	0.0516449	0.00150958	0.0283126	0.00134925	0.00139019	0.0242142	0.00658277	0.011353	0.0076386	0.0364953	0.013347	0.00790101	0.040738	0.0629581	0.0115253	0.00397643	0.00728106	0.00465964	0.004265	0.0424158	0.00301416	0.0115092	0.007198	0.0786556	0.0175382	0.0178607	0.00651389	0.0233021	0.010959	0.0860306	0.0328246	0.0166512	0.0168455	0.0677659	0.523248	0.729143	0.90615	1.10357	1.37147	1.91114	0.468332	0.0646231	0.000566829	0.0053059	0.00301899	0.00721812	8.41899e-05	0.0177103	0.00428611	0.00225344	0.0216482	0.00355449	0.00769422	0.000258489	0.0106079	0.00601391	0.00701684	0.00275823	0.000866924	0.00160814	0.000115108	0.000574913	0.000203735	0.00354719	0.00514117	0.0127819	0.0183229	0.0123244	0.00505761	0.00780226	0.0302064	0.0148373	0.00277377	0.00310313	0.00426696	0.00245114	0.00440365	0.0172159	0.00755189	0.0134002	0.00481549	0.0109208	1.11918e-05	0.014279	0.016468	0.00189028	0.0708626	0.00986299	0.0244257	0.00754156	0.0494117	0.00523757	0.0155262	0.00510435	0.00229747	0.00466936	0.0121666	0.00594759	0.00866854	0.00792184	0.0262054	0.000765982	0.0143662	0.000684631	0.000705406	0.0122867	0.0033402	0.0057607	0.00387594	0.0185183	0.00677248	0.00400909	0.0206711	0.0319459	0.00584812	0.0020177	0.00369452	0.00236437	0.00216413	0.0215224	0.00152943	0.00583995	0.00365237	0.0399111	0.00889916	0.0090628	0.00330525	0.0118239	0.00556076	0.0436532	0.0166557	0.00844909	0.00854766	0.0343855	1.970772
36	-77.27557	-239.9428	162.6672	0.219504	0.00592567	0.0478862	0.00026979	0.0207694	0.000258267	0.0221689	0.0442056	0.00234729	0.024469	0.00659032	0.00376504	0.0032885	0.0209153	0.00411521	0.0193955	0.00718712	0.00988026	0.000958822	0.0075004	0.00569929	0.0122743	0.00489982	0.0203779	0.0232824	0.0129396	0.0295289	0.010216	0.00540783	0.00558948	0.0333763	0.0119541	0.0349439	0.000743437	0.00239478	0.000336455	0.037965	0.0112961	0.00448914	0.00806727	0.0205678	0.00296083	0.00449742	0.0130588	0.00744815	0.127348	0.0192569	0.0243824	0.0312237	0.129773	0.0034292	0.0166102	0.00403489	0.00677589	0.00324307	0.0449041	0.00270845	0.0126842	0.0204365	0.0280176	0.00972954	0.0110656	0.0121261	0.0140673	0.042246	0.025059	0.0161676	0.00372789	0.0184546	0.0765732	0.00228657	0.0631772	0.0153777	0.0055401	0.0043208	0.0777646	0.00388679	0.00969954	0.0392035	0.00250669	0.0131368	0.0109406	0.0426406	0.0178856	0.048631	0.00716963	0.0124585	0.0195681	0.00412807	0.0389381	0.015515	0.0107386	0.0838529	0.784426	0.888327	0.963731	1.03763	1.12571	1.27482	0.1755629	0.107121	0.0028918	0.0233691	0.000131661	0.0101357	0.000126037	0.0108187	0.0215729	0.00114551	0.0119412	0.00321616	0.00183738	0.00160483	0.0102069	0.00200827	0.00946527	0.00350741	0.00482169	0.000467917	0.00366029	0.00278133	0.00598999	0.00239117	0.00994469	0.0113621	0.00631469	0.0144105	0.00498551	0.00263909	0.00272774	0.0162881	0.00583375	0.017053	0.000362807	0.00116868	0.000164194	0.0185274	0.00551264	0.00219076	0.00393693	0.0100374	0.00144492	0.0021948	0.00637288	0.00363479	0.0621476	0.00939761	0.0118989	0.0152376	0.0633308	0.00167349	0.008106	0.00196908	0.00330672	0.00158266	0.0219138	0.00132176	0.00619003	0.00997328	0.013673	0.00474814	0.00540016	0.00591768	0.00686503	0.0206166	0.0122291	0.00788998	0.00181925	0.00900608	0.0373687	0.00111587	0.0308313	0.0075045	0.00270364	0.0021086	0.0379501	0.0018968	0.00473349	0.0191318	0.00122329	0.00641094	0.00533914	0.0208091	0.00872837	0.0237325	0.00349887	0.0060799	0.0095495	0.00201455	0.0190023	0.00757153	0.00524059	0.0409213	2.049128
72	-82.45684	-244.3865	161.9297	0.258967	0.00988184	0.00710792	0.00122404	0.0456999	0.000112844	0.0123671	0.0859934	0.00213263	0.0390344	0.0108874	0.00164716	0.00696674	0.0184594	0.0129882	0.00332026	0.0023815	0.00673924	0.0310741	0.00881691	0.0696583	0.00240691	0.0330949	0.0384482	0.0171206	0.0110748	0.0130429	0.00996774	0.00109264	0.0136436	0.0114487	0.0252055	0.0436464	0.0111445	0.011225	0.00613777	0.0322593	0.00878008	0.0201881	0.00995142	0.0221708	0.00363839	6.5882e-05	0.0100023	0.0274163	0.022923	0.021689	0.00974304	0.0359384	0.154243	0.00264552	0.0309298	0.0025202	0.00747628	0.00169127	0.016014	0.00552113	0.01205	0.0241107	0.019878	0.0495757	0.0149898	0.0170713	0.0109903	0.016751	0.0132795	0.0121898	0.00426606	0.0197323	0.106106	0.0105269	0.0627005	0.0092329	0.0123093	0.0270466	0.00676011	0.0107588	0.0415936	0.0404623	0.00206408	0.0141668	0.00396226	0.0503067	0.00251504	0.0573741	0.0105972	0.0382701	0.00633933	0.0693104	0.0810617	0.0735485	0.00342712	0.106312	0.589018	0.772487	0.922623	1.08387	1.29452	1.69774	0.3827193	0.108282	0.00413189	0.00297203	0.000511807	0.0191085	4.71836e-05	0.00517103	0.0359564	0.000891716	0.0163214	0.00455232	0.000688727	0.002913	0.00771843	0.00543073	0.0013883	0.000995772	0.00281787	0.012993	0.00368661	0.0291262	0.0010064	0.0138379	0.0160763	0.00715862	0.0046307	0.00545362	0.0041678	0.000456863	0.0057048	0.00478703	0.0105392	0.0182498	0.00465983	0.00469349	0.00256638	0.0134886	0.00367121	0.00844125	0.00416098	0.00927027	0.00152132	2.75472e-05	0.00418225	0.0114635	0.00958478	0.0090688	0.00407385	0.0150269	0.0644936	0.00110617	0.0129327	0.00105377	0.00312605	0.00070717	0.00669592	0.00230854	0.00503844	0.0100814	0.00831156	0.020729	0.00626769	0.00713799	0.00459538	0.00700407	0.00555256	0.00509692	0.00178376	0.00825066	0.0443662	0.00440159	0.0262169	0.00386055	0.00514689	0.011309	0.0028266	0.00449858	0.0173915	0.0169185	0.000863053	0.00592357	0.00165673	0.0210347	0.00105161	0.0239898	0.004431	0.0160018	0.00265066	0.0289807	0.0338943	0.0307528	0.00143298	0.0444523	2.391606
108	-78.40905	-241.189	162.7799	0.123082	0.00522854	0.00614535	0.00150276	0.0280961	0.000288815	0.0497137	0.0753537	0.000597678	0.0191494	0.0174912	0.000813765	0.00887032	0.00599231	0.00868654	0.00429865	0.00404428	0.00716683	0.0387129	0.00739048	0.0158359	0.00505178	0.0168044	0.0289091	0.0107636	0.000912979	0.0052112	0.0113579	0.00341754	0.00669459	0.00204715	0.031026	0.0163171	0.00410548	0.0137285	0.000472964	0.0467951	0.029376	0.0201081	0.000892161	0.00750175	0.00330981	3.12658e-05	0.00168987	0.0240241	0.0794616	0.0190055	0.0321251	0.0178645	0.103119	0.00826776	0.00851922	0.00124927	0.0190673	0.00219749	0.0294285	0.0164631	0.0322374	0.00833297	0.0133581	0.0434418	0.0164605	0.0175419	0.0201109	0.0153651	0.0242989	0.00154409	0.0108406	0.0159899	0.0112694	0.0146474	0.0243483	0.0374292	0.0412039	0.0128802	0.0059237	0.0333091	0.0334151	0.00648522	0.0148837	0.0131095	0.00642466	0.0683249	0.0164552	0.0166258	0.00791007	0.010554	0.00378063	0.0577795	0.0356508	0.0524459	0.00468541	0.0517502	0.616912	0.790117	0.929141	1.07626	1.26564	1.62098	0.3492632	0.0662948	0.0028162	0.00331002	0.000809419	0.0151332	0.000155562	0.0267769	0.0405871	0.000321922	0.0103143	0.00942116	0.000438311	0.00477774	0.00322758	0.00467876	0.00231535	0.00217833	0.0038602	0.0208516	0.00398067	0.00852954	0.00272099	0.0090512	0.0155711	0.00579751	0.00049175	0.00280686	0.00611761	0.00184076	0.00360585	0.00110264	0.0167113	0.00878872	0.0022113	0.00739448	0.000254748	0.0252048	0.0158225	0.0108306	0.000480537	0.0040406	0.00178273	1.68404e-05	0.000910201	0.0129399	0.0427997	0.0102368	0.0173033	0.00962221	0.0555421	0.00445319	0.00458863	0.000672881	0.0102701	0.00118362	0.0158508	0.00886739	0.0173638	0.00448831	0.00719497	0.0233987	0.00886597	0.00944843	0.0108321	0.00827598	0.0130879	0.00083168	0.00583898	0.00861251	0.00606995	0.00788937	0.0131145	0.0201602	0.0221933	0.00693756	0.00319063	0.017941	0.0179981	0.00349308	0.00801666	0.00706108	0.00346046	0.0368013	0.0088631	0.00895499	0.00426053	0.00568461	0.00203633	0.0311213	0.0192023	0.0282485	0.00252366	0.0278737	1.856593
144	-89.93289	-253.1439	163.211	0.107845	0.0132777	0.0063139	0.0123883	0.020817	0.000902279	0.013284	0.0626668	0.00427283	0.0128792	0.019957	0.0125656	0.0230915	0.00625002	0.00624415	0.00123069	0.0197145	0.00727146	0.06257	0.0346159	0.0138754	0.0095997	0.070925	0.00759431	0.00503248	0.00984553	0.00454421	0.0161903	0.00533175	0.00506956	0.00320909	0.00928351	0.015975	0.00225881	0.00129818	0.00461097	0.0410019	0.0117669	0.0614343	0.00366197	0.00164051	0.00537282	0.000252525	0.0059318	0.0216439	0.0364026	0.0497704	0.0182606	0.012067	0.090353	0.00155205	0.000566962	0.000163285	0.00656428	0.022229	0.0543085	0.0271655	0.0666655	0.0460216	0.00232063	0.0156643	0.0144312	0.0064857	0.0265438	0.00701768	0.0283189	0.000480149	0.0150604	0.0295277	0.00986034	0.00674881	0.0474021	0.0114086	0.03352	0.00946749	0.0083864	0.02703	0.0199652	0.00662483	0.0137091	0.00183622	0.00308167	0.0226584	0.00411462	0.0137789	0.0325823	0.00417265	0.00284152	0.00101192	0.0178775	0.0604618	0.00410536	0.0511456	0.955153	0.977871	0.993043	1.00701	1.02263	1.04695	0.0331769	0.0606811	0.00747098	0.00355264	0.00697054	0.0117131	0.000507685	0.0074745	0.0352607	0.00240419	0.00724674	0.0112292	0.00707028	0.0129929	0.0035167	0.0035134	0.000692474	0.0110927	0.00409143	0.0352062	0.0194773	0.00780728	0.00540146	0.0399074	0.00427309	0.00283163	0.00553979	0.00255689	0.00910977	0.00300002	0.00285249	0.00180566	0.00522355	0.00898868	0.00127097	0.000730447	0.00259446	0.0230706	0.0066209	0.0345673	0.00206048	0.000923066	0.00302312	0.000142088	0.00333765	0.0121784	0.0204827	0.0280043	0.0102747	0.00678974	0.0508389	0.000873292	0.000319013	9.18757e-05	0.00369353	0.0125076	0.0305578	0.0152852	0.0375107	0.025895	0.00130575	0.00881381	0.00812	0.00364931	0.0149354	0.00394864	0.0159342	0.000270165	0.00847405	0.0166144	0.00554812	0.00379735	0.0266718	0.0064193	0.0188607	0.00532708	0.00471878	0.015209	0.0112338	0.00372759	0.00771371	0.00103319	0.00173396	0.0127492	0.00231517	0.00775297	0.0183331	0.00234783	0.00159884	0.000569379	0.0100591	0.03402	0.00230997	0.0287781	1.77724
180	-85.40401	-247.1239	161.7199	0.226265	0.0118514	0.0283474	0.0151219	0.00947618	0.0113637	0.00337454	0.0733421	0.00825855	0.0227713	0.0442625	0.00447631	0.0311753	0.0154281	0.113144	0.00947006	0.0391274	0.0136534	0.0124347	0.00788144	0.0388052	0.00425316	0.0145914	0.0202356	0.0112732	0.00135767	0.0165044	0.0299209	0.0112293	0.108503	0.0330718	0.0027638	0.00509775	0.0182818	0.0658678	0.0092076	0.0251561	0.00437309	0.00283348	0.0197983	0.000378998	0.0267293	0.0118976	0.00393582	0.0227206	0.0299988	0.0323868	0.042573	0.0144112	0.0364063	0.0296491	0.019895	0.0655574	0.0012637	0.0249552	0.0453287	0.0202767	0.0126517	0.0168847	0.100881	0.0203926	0.00770601	0.0155729	0.100525	0.00730792	0.140939	0.00410644	0.0855375	0.0117778	0.0192949	0.0574469	0.00533238	0.0642274	7.7784e-05	0.0241123	0.000310488	0.0359247	0.0130538	0.00640152	0.00426831	0.0110775	0.00437095	0.0942266	0.015036	0.00925204	0.0101152	0.00605852	0.0548546	0.0198523	0.0159725	0.050991	0.0190292	0.0286501	0.811751	0.903286	0.968765	1.03224	1.10707	1.2319	0.1508045	0.0848408	0.00444384	0.0106292	0.00567015	0.00355321	0.00426097	0.00126533	0.0275005	0.00309664	0.00853838	0.0165968	0.00167845	0.0116896	0.00578494	0.0424248	0.00355092	0.0146713	0.00511949	0.00466253	0.00295524	0.0145505	0.00159477	0.00547124	0.00758761	0.00422701	0.000509077	0.00618852	0.0112192	0.00421058	0.0406844	0.0124007	0.00103632	0.00191146	0.00685497	0.024698	0.00345251	0.00943258	0.00163974	0.00106245	0.0074236	0.00014211	0.0100225	0.00446115	0.00147579	0.00851936	0.0112484	0.0121438	0.0159633	0.00540366	0.013651	0.0111173	0.0074599	0.0245816	0.000473841	0.00935724	0.0169966	0.00760301	0.00474391	0.00633111	0.0378266	0.00764646	0.00288946	0.00583925	0.0376932	0.00274019	0.0528467	0.00153976	0.0320733	0.00441624	0.00723487	0.0215404	0.00199944	0.0240829	2.91661e-05	0.00904119	0.000116421	0.0134704	0.00489469	0.00240033	0.00160046	0.00415364	0.00163894	0.0353314	0.00563793	0.00346917	0.00379283	0.00227172	0.0205684	0.00744388	0.00598907	0.0191197	0.00713523	0.0107427	2.666934
216	-85.34517	-248.053	162.7078	0.155984	0.00692961	0.00305492	0.0131414	0.0141378	0.00987541	0.00370889	0.0922415	0.00717691	0.0669706	0.00888292	0.00905151	0.00166386	0.0395086	0.0946964	0.0110805	0.0209303	0.0515534	0.00991959	0.00441839	0.0181221	0.00990461	0.0051008	0.0156019	0.00695989	0.00411059	0.0347422	0.016389	0.0121769	0.027106	0.0331846	0.00252457	0.00233616	0.0181251	0.009695	0.0151472	0.0203914	0.0108161	0.00116617	0.00113369	0.0100752	0.0183411	0.0118493	0.00181921	0.0124662	0.0234425	0.0166354	0.048712	0.0285173	0.0818621	0.00998924	0.0152911	0.0569712	0.000185112	0.0214728	0.0232129	0.0072402	0.0072942	0.0113334	0.0451628	0.00295955	0.035146	0.0556163	0.0208166	0.000858471	0.0191146	0.00244073	0.0575005	0.00207712	0.0167678	0.0351641	0.031142	0.0288526	0.000768545	0.0121111	0.000582144	0.0355009	0.00317696	0.00754788	0.00123588	0.00788269	0.000934993	0.105562	0.00331538	0.0175167	0.0225254	0.0353721	0.00216277	0.00438222	0.0440797	0.0443126	0.0195267	0.0140093	0.80141	0.897656	0.966877	1.03426	1.11401	1.2478	0.1600748	0.076745	0.00340941	0.00150304	0.00646564	0.0069559	0.00485876	0.00182479	0.0453833	0.00353108	0.0329499	0.00437045	0.0044534	0.000818627	0.0194385	0.0465912	0.00545167	0.0102978	0.0253646	0.00488049	0.00217387	0.00891617	0.00487312	0.00250962	0.00767624	0.0034243	0.00202243	0.0170934	0.00806347	0.00599111	0.0133363	0.016327	0.0012421	0.0011494	0.00891764	0.00476999	0.00745252	0.0100327	0.0053216	0.000573761	0.000557782	0.00495707	0.00902393	0.00582993	0.000895064	0.00613343	0.0115339	0.0081847	0.0239666	0.0140307	0.0402766	0.00491476	0.00752332	0.0280302	9.10763e-05	0.0105647	0.0114209	0.00356222	0.00358879	0.00557609	0.0222204	0.00145612	0.017292	0.0273635	0.0102419	0.000422373	0.0094045	0.00120085	0.0282906	0.00102195	0.00824987	0.0173009	0.0153221	0.0141957	0.000378129	0.00595873	0.000286418	0.0174667	0.00156308	0.0037136	0.000608058	0.00387833	0.000460022	0.0519373	0.00163119	0.00861833	0.0110826	0.0174033	0.00106409	0.00215608	0.0216875	0.0218021	0.00960724	0.00689264	2.032497
252	-82.83189	-246.0769	163.245	0.0514417	0.00795345	0.0105159	0.00126389	0.0145817	0.00169138	0.00573424	0.0443724	0.00727258	0.0162522	0.000101854	0.0207984	0.0015582	0.0104346	0.0102528	0.0349984	0.0154408	0.0190504	0.0119275	0.00148878	0.00327131	0.00515971	0.00406274	0.0350557	0.0022002	0.0122899	0.00661738	0.00492484	0.0132393	0.0415559	0.0160279	0.000658517	0.0173423	0.00380472	0.00588959	0.00212834	0.0101645	0.00110147	0.016708	0.00620151	0.0118841	0.0153202	0.00261265	0.00714051	0.00279342	0.0611317	0.0276281	0.00990504	0.00220391	0.0226652	0.00328438	0.00492126	0.0128983	0.00225517	0.00350677	0.00197031	0.00729797	0.00959801	0.00325436	0.00705276	0.00214855	0.00878081	0.000427544	0.00676001	0.0136093	0.00264579	0.0139694	0.0109219	0.0730824	0.0268064	0.0100978	0.031617	0.016927	0.0383002	0.012014	0.00458218	0.00167776	0.0100355	0.00167646	0.00386527	0.000781504	0.0124786	0.0120417	0.00859263	0.0417609	0.00130961	0.0125376	0.00584619	0.00544637	0.00461304	0.0584704	0.00334592	0.031276	0.350989	0.60012	0.852736	1.1727	1.66633	2.84909	0.7570537	0.0427503	0.00660967	0.00873914	0.00105035	0.0121181	0.00140561	0.00476541	0.0368754	0.00604383	0.0135063	8.46449e-05	0.0172844	0.00129494	0.00867161	0.00852055	0.0290853	0.012832	0.0158317	0.00991226	0.00123724	0.0027186	0.00428795	0.00337632	0.0291329	0.00182847	0.0102135	0.00549934	0.00409276	0.0110025	0.0345348	0.0133199	0.000547257	0.0144122	0.00316189	0.00489451	0.00176875	0.00844718	0.000915368	0.0138851	0.00515373	0.00987625	0.0127318	0.00217123	0.00593408	0.00232146	0.0508032	0.0229602	0.00823153	0.00183154	0.0188358	0.00272947	0.00408978	0.010719	0.00187414	0.00291428	0.00163742	0.00606494	0.00797638	0.00270452	0.00586116	0.00178554	0.00729724	0.000355308	0.00561787	0.0113099	0.00219877	0.0116092	0.00907662	0.0607348	0.0222773	0.0083917	0.0262751	0.0140671	0.0318292	0.00998416	0.00380799	0.00139429	0.00833993	0.00139321	0.00321221	0.000649464	0.0103703	0.0100072	0.00714086	0.0347052	0.00108834	0.0104193	0.00485844	0.00452617	0.00383364	0.0485915	0.00278061	0.0259918	1.203305
288	-89.97504	-252.5647	162.5896	0.138336	0.00998425	0.00284821	0.00143055	0.0638815	0.00862074	0.0277514	0.0291998	0.0240729	0.0417748	0.00327443	0.0301824	0.00692868	0.0124782	0.110021	0.00671468	0.0168126	0.00968129	0.00670512	0.0286122	0.0108754	0.0106946	0.00175689	0.0126896	0.00102982	0.00427945	0.00449547	0.0491824	0.0401888	0.00993349	0.0195158	0.00302987	0.0162306	0.00165225	0.0213848	0.0121512	0.000843666	0.00688385	0.0128625	0.00406134	0.00749628	0.0188677	0.000585757	0.0116432	0.00739276	0.0231433	0.0272091	0.0761661	0.0197482	0.0292623	0.0354771	0.0309311	0.1168	0.00182471	0.0239198	0.00261545	0.0231177	0.000621671	0.0163731	0.0281188	0.0261242	0.00170585	0.00213292	0.0523585	0.0310608	0.0174527	0.0170372	0.0891571	0.00470351	0.0228951	0.0607094	0.0149982	0.0433351	0.00152816	0.0263709	0.000868027	0.0136071	0.00106104	0.00636861	0.00863201	0.0184388	0.0337939	0.0126744	0.0609893	0.00814044	0.00790809	0.00279642	0.00730394	0.031731	0.000674737	0.0505434	0.0067944	0.00918651	0.659559	0.816299	0.938639	1.06537	1.22504	1.51617	0.30093	0.0685696	0.00494895	0.00141179	0.000709088	0.0316645	0.00427309	0.0137557	0.0144737	0.0119324	0.0207068	0.00162305	0.0149607	0.00343438	0.00618513	0.0545348	0.0033283	0.0083336	0.00479878	0.00332356	0.0141824	0.00539066	0.00530105	0.000870846	0.00628994	0.000510458	0.00212122	0.00222829	0.0243785	0.0199206	0.00492379	0.00967353	0.00150184	0.00804513	0.000818978	0.0105999	0.00602304	0.000418185	0.00341216	0.00637564	0.00201311	0.00371572	0.00935228	0.000290346	0.00577123	0.00366441	0.0114716	0.0134869	0.0377537	0.00978869	0.0145046	0.0175851	0.0153318	0.0578948	0.000904464	0.0118565	0.00129642	0.0114589	0.000308147	0.00811574	0.0139378	0.0129491	0.000845547	0.00105724	0.0259529	0.0153961	0.00865087	0.00844491	0.044193	0.00233142	0.0113486	0.0300922	0.00743423	0.0214802	0.000757471	0.0130714	0.00043026	0.00674469	0.00052593	0.00315676	0.00427868	0.00913967	0.0167508	0.00628238	0.0302309	0.00403502	0.00391985	0.00138612	0.00362039	0.0157283	0.000334451	0.0250532	0.00336782	0.00455353	2.017448
324	-90.74547	-253.0945	162.349	0.0859294	0.0133122	0.0878138	0.0207668	0.0236607	0.0157482	0.0294606	0.0218606	0.0252928	0.0202059	0.0135977	0.0014084	0.0123991	0.00572792	0.0380134	0.00567951	0.0314441	0.00311696	0.00260121	0.00291784	0.00294314	0.00889352	0.00202873	0.0363356	0.00220368	0.0173601	0.0153874	0.0287882	0.00393143	0.00730005	0.0132907	0.00178655	0.00588125	0.00636993	0.0269381	0.00985444	0.0322974	0.00568974	0.00176644	0.0121714	0.0151427	0.0247906	0.0329151	0.00887368	0.0208411	0.0348564	0.0334573	0.0191063	0.000607313	0.0131071	0.00628743	0.00632518	0.036692	0.012347	0.00856314	0.000173967	0.0310571	0.0359099	0.00729994	0.0513501	0.0199421	0.0524973	0.0170869	0.0126821	0.00737942	0.00521026	0.0127843	0.0673647	0.171584	0.026938	0.0288948	0.113911	0.137739	0.0740169	0.00596641	0.0133434	0.00274666	0.0096661	0.0115196	0.00844068	0.000799384	0.0544277	0.0366731	0.00363559	0.139893	0.0166787	0.00649722	0.0422287	0.00853705	0.0050501	0.0568251	0.0571907	0.0362669	0.995344	0.997726	0.99929	1.00071	1.00228	1.00468	0.003374569	0.0363139	0.00562575	0.0371102	0.00877609	0.00999905	0.00665521	0.0124501	0.00923834	0.0106888	0.00853906	0.00574642	0.000595194	0.00523988	0.00242063	0.0160645	0.00240017	0.0132883	0.00131723	0.00109927	0.00123308	0.00124378	0.00375841	0.000857345	0.0153555	0.00093128	0.00733641	0.00650274	0.012166	0.00166143	0.00308501	0.00561667	0.000754997	0.00248543	0.00269194	0.0113841	0.0041645	0.0136489	0.00240449	0.000746502	0.00514366	0.00639932	0.0104765	0.01391	0.00375003	0.0088075	0.0147304	0.0141391	0.00807436	0.000256651	0.00553909	0.00265708	0.00267303	0.0155061	0.00521785	0.0036188	7.35188e-05	0.0131248	0.0151756	0.00308497	0.0217006	0.00842755	0.0221854	0.00722093	0.00535946	0.00311855	0.00220186	0.00540267	0.0284684	0.0725117	0.011384	0.012211	0.048139	0.0582086	0.0312797	0.00252142	0.00563895	0.00116074	0.00408491	0.00486819	0.00356704	0.000337821	0.0230012	0.0154981	0.00153641	0.059119	0.00704845	0.00274573	0.0178459	0.00360777	0.00213418	0.0240144	0.0241689	0.0153264	2.366295
