Iteration	Posterior	Likelihood	Prior	rate_log_sd	tree_length
0	-103.5588	-266.8118	163.253	0.4231301	1.464524
6	-117.7359	-280.0744	162.3385	0.7297479	1.898145
12	-96.80431	-258.943	162.1387	0.3194111	2.299011
18	-96.71934	-259.9848	163.2655	0.2364339	1.593975
24	-97.46454	-260.3024	162.8379	0.9173585	1.403771
30	-106.1796	-269.5074	163.3278	0.6839285	1.195047
36	-110.0468	-272.6961	162.6493	0.7942445	1.636241
42	-109.3385	-271.4912	162.1527	0.273665	2.319252
48	-109.0916	-271.9648	162.8732	0.3420518	1.797353
54	-111.4327	-274.6593	163.2265	1.287012	0.5978118
60	-106.9601	-269.9383	162.9781	1.357717	0.8799564
66	-103.2671	-266.392	163.1249	1.357717	0.67113
72	-108.5596	-271.2692	162.7096	0.9190388	1.50036
78	-111.0339	-273.5664	162.5325	0.7371084	1.759533
84	-114.9136	-275.7513	160.8377	0.4601081	3.014686
90	-109.8647	-272.2322	162.3675	0.4327072	2.07726
96	-95.60827	-258.5552	162.9469	0.4119711	1.696731
102	-93.5335	-256.2532	162.7197	0.07130131	2.083319
108	-95.64424	-257.8672	162.2229	0.1876654	2.329316
114	-95.41065	-258.0203	162.6096	0.3673957	1.959702
120	-103.3682	-265.949	162.5807	0.4981354	1.890906
126	-117.1775	-279.4978	162.3203	0.6250502	1.98096
132	-106.4674	-268.5227	162.0552	0.4615517	2.261419
138	-90.34317	-253.203	162.8598	0.4328636	1.743419
144	-95.06976	-258.1149	163.0452	0.7643299	1.361275
150	-96.62216	-259.5869	162.9647	0.2256007	1.814589
156	-106.8824	-269.4116	162.5292	0.02597887	2.236739
162	-112.7241	-275.7967	163.0725	0.03371544	1.872268
168	-98.64325	-261.6521	163.0088	0.09742847	1.872268
174	-103.8533	-266.6891	162.8357	0.1065617	1.982982
180	-101.1456	-262.7206	161.5749	0.03867004	2.82411
186	-98.08697	-260.4603	162.3734	0.03354734	2.331656
192	-117.1105	-278.8245	161.714	0.04351187	2.736411
198	-125.0969	-287.4936	162.3967	0.05098805	2.305646
204	-113.7951	-275.8876	162.0925	0.9993804	1.882071
210	-117.8321	-279.2736	161.4415	0.3543121	2.712931
216	-115.6937	-278.5252	162.8315	0.5401569	1.687673
222	-107.1833	-267.972	160.7887	0.3472312	3.111384
228	-114.3068	-276.865	162.5582	0.01166336	2.227286
234	-104.9931	-267.5676	162.5746	0.01973728	2.211512
240	-103.9287	-264.8829	160.9542	0.1663769	3.120548
246	-103.955	-266.6396	162.6846	0.7048953	1.674966
252	-104.6545	-267.1852	162.5307	0.5365568	1.898799
258	-105.8301	-268.639	162.8088	0.4585262	1.761117
264	-113.3008	-276.0262	162.7254	0.5419727	1.761117
270	-114.6554	-277.6363	162.9809	0.3610943	1.708675
276	-111.7067	-274.7889	163.0822	0.1691519	1.772303
282	-113.1008	-276.2195	163.1188	0.1053281	1.791216
288	-116.945	-280.1191	163.1742	0.6783469	1.327034
294	-111.3748	-274.1947	162.8199	0.6783469	1.596675
300	-111.8828	-274.2501	162.3673	0.9913463	1.696882
306	-112.8318	-274.875	162.0432	0.3007698	2.371631
312	-121.3938	-283.2607	161.8669	0.03463824	2.647951
318	-125.4274	-287.2555	161.8281	0.5805389	2.330523
324	-128.7041	-291.3943	162.6902	0.7014659	1.673452
330	-147.8488	-310.8199	162.9711	0.7014659	1.467225
336	-133.8493	-296.5602	162.711	0.7014659	1.658598
342	-127.422	-290.1329	162.711	0.7014659	1.658598
348	-121.8672	-284.7396	162.8724	0.5400624	1.658598
354	-113.3269	-276.5193	163.1923	0.5400624	1.421475
360	-124.0332	-286.1597	162.1265	0.7565264	2.022479
366	-115.9846	-278.3561	162.3714	0.5115682	2.022479
372	-116.6948	-279.8221	163.1273	0.3316855	1.625099
378	-113.2904	-276.7527	163.4623	0.3316855	1.373514
384	-110.3016	-270.4381	160.1366	0.1296794	3.622235
390	-114.2392	-274.6746	160.4354	0.232835	3.387765
396	-109.4508	-272.6727	163.2219	0.7465585	1.231842
402	-109.4738	-271.8027	162.3289	1.147974	1.612141
408	-112.8701	-275.6561	162.7859	1.274884	1.152282
414	-102.4797	-265.4345	162.9548	1.571904	0.5446174
420	-99.23789	-262.2396	163.0017	1.525003	0.5446174
426	-107.9608	-271.4602	163.4994	1.008103	0.6149698
432	-111.1564	-273.9927	162.8363	1.683337	0.4298765
438	-111.9876	-274.8117	162.8241	1.683337	0.4000919
444	-104.8518	-267.863	163.0112	1.518735	0.5165054
450	-101.4314	-264.2602	162.8288	1.640922	0.6951095
456	-105.0346	-268.2452	163.2106	1.259143	0.6951095
462	-114.6329	-275.8971	161.2642	0.174762	2.929823
468	-112.2989	-275.8031	163.5043	0.2977528	1.367187
474	-112.7905	-274.521	161.7305	0.2605316	2.592659
480	-104.9968	-267.4573	162.4606	0.2014632	2.167629
486	-111.1044	-272.924	161.8196	0.03074506	2.679454
492	-123.2899	-286.4682	163.1783	0.4584653	1.494267
498	-113.6662	-274.1395	160.4733	0.09516097	3.446255
504	-119.4946	-280.6244	161.1298	0.03353122	3.095047
510	-116.0296	-277.5832	161.5535	0.2215296	2.725654
516	-110.5603	-272.8472	162.2869	0.387702	2.159415
522	-109.0159	-271.2068	162.1909	0.5784035	2.097586
528	-108.5389	-271.1004	162.5615	0.8352923	1.669755
534	-118.0523	-280.5414	162.4891	0.8815854	1.688331
540	-121.641	-284.7849	163.144	0.7605245	1.284927
546	-121.4575	-283.0781	161.6207	0.6645711	2.40876
552	-111.9121	-273.6974	161.7853	0.4254866	2.455621
558	-109.1303	-271.5377	162.4074	0.5967539	1.941442
564	-115.4163	-277.5963	162.18	0.2811581	2.297056
570	-119.4735	-281.2246	161.751	0.8154146	2.229476
576	-122.5528	-283.854	161.3012	0.6549775	2.614226
582	-118.6028	-280.5966	161.9937	0.387049	2.348286
588	-121.0783	-282.9957	161.9174	1.054753	1.962987
594	-116.6775	-279.8362	163.1587	0.6672178	1.348293
600	-116.1244	-278.7324	162.608	0.7167172	1.720862
606	-113.7814	-276.7074	162.926	0.7167172	1.489757
